time,PWM0,PWM1,PWM2,PWM3
3.000000,33003,32590,32785,33413
3.010000,32969,32529,32961,33402
3.020000,33008,32724,33007,33199
3.030000,33206,32996,32861,32934
3.040000,33171,32974,32879,32963
3.050000,33109,32781,32925,33131
3.060000,32915,32762,33181,33054
3.070000,33030,32906,33020,32930
3.080000,32972,33078,33023,32778
3.090000,32825,33061,33078,32809
3.100000,32729,33163,33086,32731
3.110000,32651,33265,33115,32606
3.120000,32516,32994,33201,32848
3.130000,32724,32744,33007,33134
3.140000,32868,32673,32961,33235
3.150000,33079,32755,32856,33176
3.160000,33009,32682,32986,33232
3.170000,32872,32986,33178,32875
3.180000,32782,33204,33206,32628
3.190000,33023,33304,32792,32651
3.200000,33375,33394,32377,32699
3.210000,33447,33236,32403,32857
3.220000,33452,32939,32555,33067
3.230000,33297,32694,32835,33192
3.240000,33159,32638,33038,33152
3.250000,32777,32659,33401,33026
3.260000,32628,32899,33440,32761
3.270000,32300,33095,33627,32536
3.280000,32221,33235,33533,32438
3.290000,32345,33383,33258,32403
3.300000,32674,33433,32816,32505
3.310000,33097,33305,32396,32772
3.320000,33222,33056,32527,32932
3.330000,33076,32891,32842,32990
3.340000,32714,32752,33256,33018
3.350000,32676,32804,33199,33010
3.360000,32746,32869,33065,33023
3.370000,33035,33001,32733,33014
3.380000,33185,33051,32622,33012
3.390000,32959,32993,32941,32973
3.400000,32795,33128,33163,32714
3.410000,32791,33037,33113,32781
3.420000,32825,33045,33079,32763
3.430000,33014,33080,32825,32852
3.440000,33203,33019,32660,32981
3.450000,33337,32980,32635,33009
3.460000,33092,33056,33000,32803
3.470000,32879,33040,33133,32762
3.480000,32975,32919,32905,32946
3.490000,32982,32845,32940,33000
3.500000,33052,32775,32887,33075
3.510000,32939,32622,33017,33208
3.520000,32682,32546,33305,33221
3.530000,32874,32779,33101,33038
3.540000,33079,33124,32909,32750
3.550000,33292,33226,32722,32673
3.560000,33117,33104,32905,32785
3.570000,32824,32946,33219,32838
3.580000,32959,32822,33003,33012
3.590000,33344,32903,32607,33054
3.600000,33377,32967,32682,32988
3.610000,33300,32860,32834,33007
3.620000,33200,32754,32918,33079
3.630000,33250,32665,32796,33233
3.640000,33301,32915,32846,32960
3.650000,33310,33082,32888,32747
3.660000,33276,33114,32875,32710
3.670000,33307,33046,32829,32752
3.680000,33304,33067,32839,32705
3.690000,33186,32899,32853,32929
3.700000,32959,32732,33035,33095
3.710000,32802,32727,33137,33102
3.720000,32599,32859,33312,32929
3.730000,32469,32885,33331,32925
3.740000,32477,32939,33225,32945
3.750000,32538,32998,33138,32930
3.760000,32600,32869,33105,33073
3.770000,32672,32979,33096,32969
3.780000,33039,33219,32765,32800
3.790000,33266,33147,32651,32866
3.800000,33256,32940,32747,33070
3.810000,33156,32849,32902,33141
3.820000,33002,32729,33120,33168
3.830000,32983,32913,33159,32935
3.840000,32754,33020,33401,32708
3.850000,32507,32895,33526,32795
3.860000,32616,32920,33305,32824
3.870000,32858,32898,32968,32978
3.880000,33111,32764,32675,33253
3.890000,33313,32886,32563,33198
3.900000,33163,32885,32840,33107
3.910000,32902,32815,33164,33028
3.920000,32875,32900,33155,32897
3.930000,32928,32934,33037,32884
3.940000,32881,33018,33070,32794
3.950000,33044,33000,32831,32884
3.960000,33184,33071,32677,32877
3.970000,33338,33133,32617,32783
3.980000,33313,33016,32753,32832
3.990000,33078,32773,33040,33000
4.000000,32865,32845,33247,32889
4.010000,32658,32683,33251,33149
4.020000,32383,32467,33445,33372
4.030000,32415,32478,33372,33424
4.040000,32507,32657,33276,33316
4.050000,32634,32976,33188,33027
4.060000,32950,33182,32846,32910
4.070000,33240,33345,32562,32836
4.080000,33038,33256,32823,32871
4.090000,32871,33009,32932,33116
4.100000,32938,32883,32898,33233
4.110000,33081,32960,32805,33173
4.120000,33128,33060,32800,33076
4.130000,33284,33221,32654,32927
4.140000,33229,33203,32777,32861
4.150000,33314,33208,32677,32849
4.160000,33431,32983,32569,33070
4.170000,33103,32912,32982,33025
4.180000,32781,32694,33269,33136
4.190000,33011,32728,33001,33134
4.200000,33157,32809,32863,33110
4.210000,32985,32858,33091,33015
4.220000,32738,32812,33241,33065
4.230000,32793,32686,33027,33299
4.240000,32959,32814,32874,33223
4.250000,32991,32954,32940,33034
4.260000,32954,33130,33006,32825
4.270000,32775,33005,33179,32895
4.280000,32664,32923,33221,33001
4.290000,32711,32957,33142,33009
4.300000,32502,32957,33409,32920
4.310000,32181,32765,33677,33058
4.320000,32249,32902,33527,32989
4.330000,32457,33173,33265,32807
4.340000,32652,33576,33082,32433
4.350000,32723,33398,32974,32656
4.360000,32929,33182,32760,32970
4.370000,33361,32960,32347,33365
4.380000,33656,33095,32294,33234
4.390000,33364,33265,32868,32811
4.400000,32951,33045,33281,32823
4.410000,32729,32702,33437,33044
4.420000,32779,32872,33328,32897
4.430000,32871,33176,33127,32678
4.440000,32989,33270,32904,32654
4.450000,33150,33245,32731,32706
4.460000,33413,33100,32432,32954
4.470000,33455,33000,32473,33064
4.480000,33372,32914,32613,33113
4.490000,33362,32728,32650,33261
4.500000,33328,32592,32724,33361
4.510000,33387,32612,32695,33332
4.520000,33214,32699,32928,33165
4.530000,33062,32780,32984,33100
4.540000,32911,32826,33075,33032
4.550000,32845,32893,33059,32988
4.560000,32830,32924,33032,32974
4.570000,32911,32993,32934,32934
4.580000,32951,33003,32878,32962
4.590000,33042,33149,32802,32833
4.600000,32985,33336,32888,32613
4.610000,32912,33390,32894,32554
4.620000,33009,33152,32673,32869
4.630000,33073,32899,32622,33155
4.640000,32987,32727,32760,33301
4.650000,32760,32699,33061,33228
4.660000,32780,32886,33067,32999
4.670000,32761,33016,33115,32807
4.680000,32735,33230,33108,32592
4.690000,32677,33345,33084,32504
4.700000,32630,33354,33117,32466
4.710000,32724,33148,32946,32737
4.720000,33003,33084,32671,32910
4.730000,32997,32857,32761,33167
4.740000,32683,32702,33183,33231
4.750000,32642,32852,33251,33058
4.760000,32840,32849,33091,33054
4.770000,33065,32967,32878,33004
4.780000,33257,33194,32718,32818
4.790000,33203,33193,32785,32798
4.800000,33148,33072,32776,32957
4.810000,33047,33110,32898,32870
4.820000,32969,33118,32962,32803
4.830000,33229,32958,32582,33060
4.840000,33455,32914,32422,33125
4.850000,33392,32912,32631,33044
4.860000,33242,32795,32797,33097
4.870000,33046,32869,32998,32961
4.880000,32717,32809,33329,32889
4.890000,32533,32813,33378,32896
4.900000,32505,32835,33297,32935
4.910000,32662,32772,33077,33097
4.920000,32926,32986,32814,33018
4.930000,32814,33095,32998,32899
4.940000,32821,33071,33033,32872
4.950000,32943,33074,32956,32862
4.960000,32966,32929,32955,33018
4.970000,33145,32867,32753,33157
4.980000,33133,32885,32788,33173
4.990000,33234,33117,32734,32941
5.000000,33288,33204,32759,32773
5.010000,33237,33142,32827,32793
5.020000,33317,33000,32672,32992
5.030000,33097,32872,32917,33079
5.040000,32934,32813,33005,33158
5.050000,33059,32845,32810,33198
5.060000,33011,32845,32825,33232
5.070000,33069,32990,32781,33090
5.080000,33012,33182,32884,32816
5.090000,32708,33125,33159,32791
5.100000,32510,32933,33294,32942
5.110000,32649,32815,33078,33151
5.120000,33102,32872,32661,33221
5.130000,33270,33011,32669,33089
5.140000,33476,33113,32564,32988
5.150000,33480,33138,32628,32938
5.160000,33438,33179,32704,32860
5.170000,33308,33341,32903,32557
5.180000,33105,33207,33016,32633
5.190000,33038,33097,32947,32795
5.200000,32753,33083,33209,32767
5.210000,32688,33128,33239,32681
5.220000,32630,33178,33245,32627
5.230000,32672,33078,33104,32804
5.240000,32795,33080,32926,32913
5.250000,32843,33221,32915,32774
5.260000,33031,33454,32702,32584
5.270000,33204,33468,32494,32642
5.280000,33176,33231,32560,32880
5.290000,33129,32961,32678,33103
5.300000,33055,32763,32805,33269
5.310000,32966,32693,32901,33333
5.320000,33064,32579,32860,33419
5.330000,33348,32523,32608,33559
5.340000,33307,32581,32789,33477
5.350000,33099,32664,33065,33311
5.360000,32933,32613,33171,33321
5.370000,33020,32607,33009,33375
5.380000,33085,32707,33005,33259
5.390000,32952,32784,33164,33124
5.400000,32936,32580,33066,33362
5.410000,33067,32643,32900,33369
5.420000,32775,32532,33248,33379
5.430000,32556,32497,33472,33329
5.440000,32444,32501,33536,33303
5.450000,32313,32657,33588,33190
5.460000,32319,32946,33526,32933
5.470000,32467,33091,33257,32895
5.480000,32861,33015,32735,33172
5.490000,33111,33045,32534,33265
5.500000,32950,32818,32815,33430
5.510000,32947,32609,32865,33618
5.520000,32898,32786,33037,33363
5.530000,32826,32840,33110,33251
5.540000,32742,32822,33146,33257
5.550000,32821,32796,33030,33294
5.560000,32835,32768,33085,33249
5.570000,32797,32821,33150,33143
5.580000,32784,32766,33118,33203
5.590000,32794,32824,33041,33203
5.600000,32897,32973,32916,33088
5.610000,32965,33060,32936,32935
5.620000,33094,33130,32914,32781
5.630000,32910,33020,33129,32819
5.640000,32660,32829,33336,32960
5.650000,32427,32595,33471,33196
5.660000,32505,32560,33316,33315
5.670000,32848,32686,32952,33321
5.680000,33157,32834,32698,33262
5.690000,33283,33108,32715,32953
5.700000,33063,33181,33035,32721
5.710000,32811,33022,33214,32784
5.720000,32731,32911,33181,32897
5.730000,32840,32816,32974,33057
5.740000,33000,32819,32844,33106
5.750000,33116,32830,32768,33140
5.760000,33210,32803,32714,33199
5.770000,33366,32818,32588,33229
5.780000,33310,32961,32700,33063
5.790000,33207,33100,32800,32871
5.800000,32905,33150,33021,32750
5.810000,32908,33049,32880,32852
5.820000,32888,32696,32890,33181
5.830000,33151,32689,32734,33194
5.840000,33234,32787,32805,33063
5.850000,33204,32639,32889,33174
5.860000,33162,32550,32932,33275
5.870000,33143,32484,32945,33355
5.880000,33111,32739,33072,33027
5.890000,33059,32785,33078,32975
5.900000,33082,32926,33023,32858
5.910000,33236,33021,32779,32854
5.920000,33379,33061,32607,32896
5.930000,33282,32856,32736,33073
5.940000,33333,32869,32652,33098
5.950000,33151,32904,32845,33007
5.960000,32865,32946,33063,32898
5.970000,32737,33192,33111,32602
5.980000,32745,33288,32980,32522
5.990000,32799,33215,32826,32661
6.000000,32886,32997,32717,32938
6.010000,33016,32930,32654,33045
6.020000,33139,32737,32608,33264
6.030000,33253,32763,32596,33252
6.040000,33083,32683,32836,33289
6.050000,32733,32572,33242,33273
6.060000,32693,32581,33272,33207
6.070000,32835,32781,33116,33030
6.080000,33186,33063,32774,32809
6.090000,33439,33134,32512,32829
6.100000,33232,32963,32825,32917
6.110000,33100,32687,32911,33181
6.120000,33149,32624,32782,33336
6.130000,33095,32759,32885,33187
6.140000,32809,32667,33231,33130
6.150000,32755,32874,33242,32898
6.160000,32711,32982,33157,32863
6.170000,32684,32977,33072,32952
6.180000,32844,33157,32860,32853
6.190000,33002,33280,32666,32809
6.200000,32910,33223,32811,32819
6.210000,32975,33045,32747,32988
6.220000,32847,33115,32948,32862
6.230000,32875,33272,32889,32700
6.240000,32598,33050,33202,32789
6.250000,32644,32848,33157,32940
6.260000,32646,32931,33246,32788
6.270000,32859,33044,33021,32732
6.280000,32995,33109,32896,32721
6.290000,33024,33021,32899,32827
6.300000,33120,33036,32796,32874
6.310000,33037,33041,32876,32894
6.320000,32971,32920,32854,33074
6.330000,33067,32917,32744,33099
6.340000,33227,32897,32621,33126
6.350000,33315,32958,32637,33025
6.360000,33397,33388,32672,32508
6.370000,33226,33416,32834,32382
6.380000,32964,33170,32979,32619
6.390000,33040,33165,32812,32679
6.400000,32983,32945,32863,32892
6.410000,32910,32613,32881,33275
6.420000,32962,32421,32848,33528
6.430000,32934,32713,33019,33209
6.440000,32701,32901,33311,32943
6.450000,32681,32942,33232,32947
6.460000,32908,33092,32923,32903
6.470000,33159,33076,32660,33018
6.480000,33089,32937,32821,33124
6.490000,33195,32867,32726,33220
6.500000,33432,32784,32501,33360
6.510000,33571,32807,32477,33338
6.520000,33651,33086,32565,32970
6.530000,33456,33094,32849,32795
6.540000,33250,32920,32972,32913
6.550000,33008,32856,33136,32932
6.560000,32866,32752,33166,33034
6.570000,32939,32701,32990,33167
6.580000,32856,32721,33087,33157
6.590000,32778,32902,33233,32893
6.600000,32777,32904,33173,32893
6.610000,33022,32721,32870,33178
6.620000,33247,32664,32670,33350
6.630000,33438,32676,32614,33363
6.640000,33346,32696,32838,33281
6.650000,33184,32836,33062,33040
6.660000,33098,32813,33047,33058
6.670000,33218,32718,32813,33244
6.680000,33277,32539,32789,33425
6.690000,33137,32662,33049,33196
6.700000,32811,32667,33360,33084
6.710000,32369,32520,33627,33207
6.720000,32216,32414,33570,33408
6.730000,32483,32656,33268,33294
6.740000,32713,32870,33121,33123
6.750000,32956,33077,32880,33003
6.760000,33015,33165,32841,32925
6.770000,32931,33107,32976,32903
6.780000,32664,32868,33183,33122
6.790000,32647,32766,33118,33282
6.800000,32843,32705,32784,33536
6.810000,33209,32878,32509,33443
6.820000,33285,33122,32613,33127
6.830000,33280,33158,32658,33045
6.840000,33427,33160,32470,33072
6.850000,33473,33110,32460,33107
6.860000,33353,33036,32619,33118
6.870000,33215,32908,32794,33148
6.880000,33186,32988,32836,33011
6.890000,33076,33053,32910,32920
6.900000,33145,33043,32731,32984
6.910000,33155,33018,32689,33025
6.920000,33059,32876,32817,33112
6.930000,32920,32633,32942,33327
6.940000,32865,32698,33032,33232
6.950000,32871,32721,33078,33156
6.960000,32825,32810,33132,33066
6.970000,32922,32825,33010,33105
6.980000,33258,32863,32741,33120
6.990000,33710,32837,32346,33278
7.000000,33718,32675,32512,33422
7.010000,33625,32809,32762,33193
7.020000,33455,32653,32889,33296
7.030000,33444,32754,32849,33201
7.040000,33237,33017,33051,32856
7.050000,32846,33307,33336,32448
7.060000,32622,33441,33314,32313
7.070000,32651,33424,32995,32491
7.080000,32811,33272,32704,32803
7.090000,32884,33342,32656,32797
7.100000,32866,33413,32646,32794
7.110000,32754,33400,32795,32769
7.120000,32748,33315,32792,32850
7.130000,32919,33243,32632,32962
7.140000,33015,33175,32604,33041
7.150000,33080,33301,32656,32842
7.160000,32842,33336,32955,32678
7.170000,32580,33213,33126,32773
7.180000,32464,32934,33146,33077
7.190000,32660,32916,32920,33191
7.200000,32924,33115,32779,33003
7.210000,32841,33390,32986,32636
7.220000,32687,33495,33093,32490
7.230000,32859,33467,32792,32612
7.240000,32946,33331,32702,32799
7.250000,33079,33150,32575,33044
7.260000,33022,32981,32792,33131
7.270000,33070,32890,32783,33213
7.280000,33010,32844,32853,33278
7.290000,32871,32833,33006,33260
7.300000,32925,32803,32898,33329
7.310000,32966,32629,32914,33457
7.320000,33152,32683,32812,33403
7.330000,33180,32861,32857,33217
7.340000,33194,33116,32921,32906
7.350000,33127,33164,32987,32795
7.360000,33070,33165,32973,32774
7.370000,33211,33241,32754,32760
7.380000,33086,33168,32907,32771
7.390000,32693,32948,33265,32894
7.400000,32547,32693,33328,33115
7.410000,32655,32669,33161,33194
7.420000,32792,32780,33005,33170
7.430000,32902,33068,32949,32890
7.440000,33013,32990,32837,32969
7.450000,33243,33014,32619,33008
7.460000,33202,32993,32751,32988
7.470000,33189,33000,32810,32950
7.480000,33210,33059,32804,32882
7.490000,33337,32983,32675,32966
7.500000,33431,32938,32584,33053
7.510000,33102,32906,32970,33000
7.520000,32808,32731,33186,33115
7.530000,32621,32728,33227,33148
7.540000,32378,32991,33385,32897
7.550000,32324,32993,33292,32970
7.560000,32254,32911,33346,33051
7.570000,32480,33086,33143,32911
7.580000,32797,33093,32876,32940
7.590000,33083,33288,32709,32773
7.600000,33011,33304,32922,32673
7.610000,32926,33276,32995,32682
7.620000,32674,33146,33259,32726
7.630000,32555,32918,33297,32958
7.640000,32477,32870,33387,32978
7.650000,32420,32701,33359,33191
7.660000,32805,32895,32946,33136
7.670000,32993,33066,32866,32992
7.680000,32876,33082,33069,32924
7.690000,32646,32980,33329,32941
7.700000,32579,32816,33306,33143
7.710000,32645,32938,33203,33078
7.720000,32827,33256,33026,32788
7.730000,33041,33529,32805,32516
7.740000,33250,33524,32544,32563
7.750000,33217,33407,32592,32691
7.760000,33062,33233,32810,32780
7.770000,32952,32981,32943,32967
7.780000,32909,32991,33012,32920
7.790000,32936,33117,33027,32752
7.800000,32948,33166,32985,32694
7.810000,33247,33129,32592,32841
7.820000,33318,32840,32596,33141
7.830000,33285,32642,32715,33325
7.840000,33241,32521,32781,33462
7.850000,33261,32701,32817,33292
7.860000,33226,32795,32861,33178
7.870000,33244,33007,32816,32977
7.880000,33139,33128,32867,32852
7.890000,33018,33012,32888,32994
7.900000,33172,32922,32642,33190
7.910000,33350,33011,32515,33155
7.920000,33225,33017,32751,33073
7.930000,33227,33029,32732,33044
7.940000,33134,33043,32846,32971
7.950000,33020,32935,32932,33033
7.960000,33118,32823,32779,33177
7.970000,33088,32755,32810,33259
7.980000,33335,32910,32555,33174
7.990000,33409,33051,32513,33054
8.000000,33377,33171,32593,32872
8.010000,33084,33338,32932,32538
8.020000,32887,33222,33035,32571
8.030000,32926,33122,32918,32682
8.040000,33022,32972,32807,32865
8.050000,33233,32935,32600,33008
8.060000,33192,32865,32781,33034
8.070000,33091,32795,32944,33048
8.080000,33163,32826,32836,33054
8.090000,33138,33107,32909,32732
8.100000,32836,33072,33192,32677
8.110000,32450,32867,33543,32759
8.120000,32611,32973,33283,32724
8.130000,32797,32975,33032,32828
8.140000,32822,32994,32990,32893
8.150000,32703,32939,33113,32956
8.160000,32541,33009,33311,32829
8.170000,32604,33125,33155,32778
8.180000,32561,33160,33150,32775
